Time,Throughput,RTT,Loss
455,12032,,
456,12032,,
457,12032,,
458,12032,,
459,12032,,
460,12032,,
461,12032,,
462,12032,,
463,12032,,
464,12032,,
465,12032,,
466,12032,,
467,12032,,
468,12032,,
469,12032,,
470,12032,,
471,12032,,
472,12032,,
473,12032,,
474,12032,,
475,12032,,
476,12032,,
477,12032,,
478,12032,,
479,12032,,
480,12032,,
481,12032,,
482,12032,,
483,12032,,
484,12032,,
485,12032,,
486,12032,,
487,12032,,
488,12032,,
489,12032,,
490,12032,,
491,12032,,
492,12032,,
493,12032,,
494,12032,,
495,12032,,
496,12032,,
497,12032,,
498,12032,,
499,12032,,
500,12032,,
501,12032,,
502,12032,,
503,12032,,
504,12032,,
505,12032,,
506,12032,,
507,12032,,
508,12032,,
509,12032,,
510,12032,,
511,12032,,
512,12032,,
513,12032,,
514,12032,,
515,12032,,
516,12032,,
517,12032,,
518,12032,,
519,12032,,
520,12032,,
521,12032,,
522,12032,,
523,12032,,
524,12032,,
525,12032,,
526,12032,,
527,12032,,
528,12032,,
529,12032,,
530,12032,,
531,12032,,
532,12032,,
533,12032,,
534,12032,,
535,12032,,
536,12032,,
537,12032,,
538,12032,,
539,12032,,
540,12032,,
541,12032,,
542,12032,,
543,12032,,
544,12032,,
545,12032,,
546,12032,,
547,12032,,
548,12032,,
549,12032,,
550,12032,,
551,12032,,
552,12032,,
553,12032,,
554,12032,,
555,12032,,
556,12032,,
557,12032,,
558,12032,,
559,12032,,
560,12032,,
561,12032,,
562,12032,,
563,12032,,
564,12032,,
565,12032,,
566,12032,,
567,12032,,
568,12032,,
569,12032,,
570,12032,,
571,12032,,
572,12032,,
573,12032,,
574,12032,,
575,12032,,
576,12032,,
577,12032,,
578,12032,,
579,12032,,
580,12032,,
581,12032,,
582,12032,,
583,12032,,
584,12032,,
585,12032,,
586,12032,,
587,12032,,
588,12032,,
589,12032,,
590,12032,,
591,12032,,
592,12032,,
593,12032,,
594,12032,,
595,12032,,
596,12032,,
597,12032,,
598,12032,,
599,12032,,
600,12032,,
601,12032,,
602,12032,,
603,12032,,
604,12032,,
605,12032,,
606,12032,,
607,12032,,
608,12032,,
609,12032,,
610,12032,,
611,12032,,
612,12032,,
613,12032,,
614,12032,,
615,12032,,
616,12032,,
617,12032,,
618,12032,,
619,12032,,
620,12032,,
621,12032,,
622,12032,,
623,12032,,
624,12032,,
625,12032,,
626,12032,,
627,12032,,
628,12032,,
629,12032,,
630,12032,,
631,12032,,
632,12032,,
633,12032,,
634,12032,,
635,12032,,
636,12032,,
637,12032,,
638,12032,,
639,12032,,
640,12032,,
641,12032,,
642,12032,,
643,12032,,
644,12032,,
645,12032,,
646,12032,,
647,12032,,
648,12032,,
649,12032,,
650,12032,,
651,12032,,
652,12032,,
653,12032,,
654,12032,,
655,12032,,
656,12032,,
657,12032,,
658,12032,,
659,12032,,
660,12032,,
661,12032,,
662,12032,,
663,12032,,
664,12032,,
665,12032,,
666,12032,,
667,12032,,
668,12032,,
669,12032,,
670,12032,,
671,12032,,
672,12032,,
673,12032,,
674,12032,,
675,12032,,
676,12032,,
677,12032,,
678,12032,,
679,12032,,
680,12032,,
681,12032,,
682,12032,,
683,12032,,
684,12032,,
685,12032,,
686,12032,,
687,12032,,
688,12032,,
689,12032,,
690,12032,,
691,12032,,
692,12032,,
693,12032,,
694,12032,,
695,12032,,
696,12032,,
697,12032,,
698,12032,,
699,12032,,
700,12032,,
701,12032,,
702,12032,,
703,12032,,
704,12032,,
705,12032,,
706,12032,,
707,12032,,
708,12032,,
709,12032,,
710,12032,,
711,12032,,
712,12032,,
713,12032,,
714,12032,,
715,12032,,
716,12032,,
717,12032,,
718,12032,,
719,12032,,
720,12032,,
721,12032,,
722,12032,,
723,12032,,
724,12032,,
725,12032,,
726,12032,,
727,12032,,
728,12032,,
729,12032,,
730,12032,,
731,12032,,
732,12032,,
733,12032,,
734,12032,,
735,12032,,
736,12032,,
737,12032,,
738,12032,,
739,12032,,
740,12032,,
741,12032,,
742,12032,,
743,12032,,
744,12032,,
745,12032,,
746,12032,,
747,12032,,
748,12032,,
749,12032,,
750,12032,,
751,12032,,
752,12032,,
753,12032,,
754,12032,,
755,12032,,
756,12032,,
757,12032,,
758,12032,,
759,12032,,
760,12032,,
761,12032,,
762,12032,,
763,12032,,
764,12032,,
765,12032,,
766,12032,,
767,12032,,
768,12032,,
769,12032,,
770,12032,,
771,12032,,
772,12032,,
773,12032,,
774,12032,,
775,12032,,
776,12032,,
777,12032,,
778,12032,,
779,12032,,
780,12032,,
781,12032,,
782,12032,,
783,12032,,
784,12032,,
785,12032,,
786,12032,,
787,12032,,
788,12032,,
789,12032,,
790,12032,,
791,12032,,
792,12032,,
793,12032,,
794,12032,,
795,12032,,
796,12032,,
797,12032,,
798,12032,,
799,12032,,
800,12032,,
801,12032,,
802,12032,,
803,12032,,
804,12032,,
805,12032,,
806,12032,,
807,12032,,
808,12032,,
809,12032,,
810,12032,,
811,12032,,
812,12032,,
813,12032,,
814,12032,,
815,12032,,
816,12032,,
817,12032,,
818,12032,,
819,12032,,
820,12032,,
821,12032,,
822,12032,,
823,12032,,
824,12032,,
825,12032,,
826,12032,,
827,12032,,
828,12032,,
829,12032,,
830,12032,,
831,12032,,
832,12032,,
833,12032,,
834,12032,,
